,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5559,Damien Rice,9,9 Crimes,5GZEeowhvSieFDiR8fQ2im,0.346,0.139,0,-15.326,1,0.0321,0.913,7.73e-05,0.0934,0.116,136.168,217947,4,11.0
5560,Bon Iver,"For Emma, Forever Ago",Flume,6a1wMgJ42Okk5LjulbrtcZ,0.455,0.152,11,-16.977,1,0.0338,0.92,0.0741,0.11,0.0806,133.835,219013,4,11.0
5561,The Staves,Mexico EP,I Try,4SILVELsr9UwDRv94C5CCf,0.46,0.0819,2,-18.008,1,0.0393,0.917,0.000202,0.116,0.131,115.012,185920,4,11.0
5562,Ludovico Einaudi,Divenire (Deluxe Edition),Primavera,4BMHp3DkI8VLsuB9Kr0pzu,0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,442400,3,6.0
5563,Summer Heart,About A Feeling,Say Goodbye,2leWwDVxtFuRmnOxWVFbyZ,0.441,0.488,0,-13.634,1,0.0319,0.0333,0.974,0.112,0.71,78.973,183418,4,2.0
5564,Imogen Heap,Speak For Yourself,Hide and Seek,121so7t3AeX6nLMvxy9ZP9,0.452,0.179,9,-11.165,1,0.0824,0.899,0,0.178,0.103,121.488,268867,4,11.0
5565,Antoine Dufour,Convergences,Hide and Seek,10rKrinagsnKxlQjgNRDwC,0.622,0.0996,9,-14.996,1,0.098,0.909,0.802,0.361,0.178,119.634,270867,4,6.0
5566,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,Hiding tonight,3UKy1X3nGe5diFqN5swaFz,0.543,0.122,0,-18.863,1,0.0337,0.915,0,0.373,0.282,99.835,186720,4,11.0
5567,Various Artists,Music From Baz Luhrmann's Film The Great Gatsby,Where The Wind Blows,09sxVSBp76QJ5MIc7yy4Kq,0.669,0.769,7,-3.94,1,0.0711,0.481,2.53e-05,0.129,0.266,150.047,230880,4,19.0
5568,Various Artists,Music From Baz Luhrmann's Film The Great Gatsby,Kill And Run,3o1plg7nwWCgZK5b9sNIDr,0.151,0.333,7,-4.837,1,0.0291,0.658,0.000171,0.12,0.158,75.696,215827,4,11.0
5569,Mumford & Sons,Sigh No More,After The Storm,62YLbP80T2vmb4v1R43hW4,0.491,0.175,7,-13.42,1,0.0362,0.906,4.85e-05,0.108,0.105,76.721,247880,4,11.0
5570,London Grammar,If You Wait (Deluxe Edition),Wasting My Young Years,2HphOq9Xs5cryolUPe3MGZ,0.547,0.304,5,-10.344,0,0.0347,0.84,0.00069,0.0982,0.11,126.882,204246,4,11.0
5571,Thirteen Senses,Into The Fire (Acoustic),Into The Fire - Acoustic,4QUs5rb57awYEGxlNt5aLc,0.538,0.197,1,-13.761,0,0.0299,0.847,1.76e-05,0.0942,0.214,144.068,248849,4,11.0
5572,Thirteen Senses,The Invitation,Gone,6gWXhVMHZzVgefo3wfGhdB,0.37,0.475,3,-8.394,1,0.029,0.227,0.228,0.0907,0.132,150.9,201840,3,5.0
5573,Thirteen Senses,The Invitation,Do No Wrong,2XYed9sfYAq9d1kzyZnNRZ,0.403,0.469,2,-7.342,0,0.0253,0.234,0.0169,0.0813,0.208,165.878,292333,4,4.0
5574,Athlete,Tourist,Wires,2ZeJRaisaFv5MpXViiQilq,0.501,0.565,3,-6.596,0,0.0285,0.224,0.000352,0.185,0.469,134.504,260707,4,17.0
5575,London Grammar,If You Wait (Deluxe Edition),Hey Now,2lmZIOEXURNVT9qtFTTha9,0.654,0.282,5,-12.16,1,0.0351,0.413,0.101,0.103,0.0393,120.075,207461,4,11.0
5576,London Grammar,If You Wait,Shyer,1qbCBOXvgHqGZJZB0ebAWe,0.748,0.393,11,-10.454,0,0.0298,0.813,0.0123,0.103,0.23,107.961,187020,4,11.0
5577,London Grammar,If You Wait (Deluxe Edition),If You Wait,0vUUVw1xb8gV13rRpgOgON,0.377,0.0374,10,-14.636,1,0.0368,0.969,1.06e-05,0.0595,0.0826,63.747,284852,3,15.0
